tp,tn,fp,fn,tpr,fpr,precision,recall,accuracy,unet_prediction_threshold
5180,68701,10588,768,0.8708809683927371,0.1335368083845174,0.3285134449518011,0.8708809683927371,0.8667714724826073,0.05
4901,69586,9703,1047,0.8239744451916611,0.1223751087792758,0.3355929882224048,0.8239744451916611,0.8738810610415665,0.2
4757,69925,9364,1191,0.7997646267652992,0.11809961028642056,0.33687415905389134,0.7997646267652992,0.8761687999343009,0.4
