tp,tn,fp,fn,tpr,fpr,precision,recall,accuracy,unet_prediction_threshold
5287,68461,10828,661,0.8888702084734365,0.13656370997237952,0.3280794291033199,0.8888702084734365,0.8652111172378193,0.05
4995,69568,9721,953,0.839778076664425,0.12260212639836547,0.3394264745854852,0.839778076664425,0.8747726926100168,0.2
4829,70006,9283,1119,0.8118695359784802,0.1170780310005171,0.34219104308390025,0.8118695359784802,0.8779637950655231,0.4
