tp,tn,fp,fn,tpr,fpr,precision,recall,accuracy,unet_prediction_threshold
5122,69083,10206,826,0.8611297915265635,0.12871899002383685,0.3341597077244259,0.8611297915265635,0.8705726386428428,0.05
5059,69207,10082,889,0.8505379959650302,0.1271550908701081,0.33412588336305393,0.8505379959650302,0.8712882902964675,0.2
5025,69296,9993,923,0.8448217888365838,0.1260326148646092,0.33459848182181384,0.8448217888365838,0.8719335499841618,0.4
